Accession,Sample,Specimen,Species,State,County,Latitude,Longitude,Elevation,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SAMN32881803,RAP2165,,CHR,GA,Talbot,32.88106,-84.50327,193,16.81,25.27,7.87,1302.04,151.05,73.05,19.94,401.71,247.71,322.48,372.66,13.39,42.5,703.63,32.13,0.63,31.5,9.37,17.5,255.98,1392.78,35.33,-0.07,19.55,139.19,73351.53,73351.53,130.57,199.73,9,54.86,99.65,5070.67,174.6,72.11,310.22,45h,3,313,31300,3130005,313000507,31300050705,,,,,,,,,,,,,,,,,
SAMN32963716,RAP2195,,CHR,GA,Polk,34.04555,-85.39242,296,15.31,24.39,5.81,1437.57,167.42,82.42,18.51,434.04,281.04,333.4,393.23,12.85,39.84,750.35,31.32,-0.94,32.26,8.22,20.68,314.82,1311.76,29.76,0.08,21.06,149.16,65505.29,58679.73,101.15,189.68,9,46.43,127.91,5212.74,170.6,79.38,249.92,67f,3,315,31501,3150105,315010503,31501050301,,,,,,,,,,,,,,,,,
SAMN32881804,RAP2196,,CHR,GA,Polk,34.04555,-85.39242,296,15.31,24.39,5.81,1437.57,167.42,82.42,18.51,434.04,281.04,333.4,393.23,12.85,39.84,750.35,31.32,-0.94,32.26,8.22,20.68,314.82,1311.76,29.76,0.08,21.06,149.16,65505.29,58679.73,101.15,189.68,9,46.43,127.91,5212.74,170.6,79.38,249.92,67f,3,315,31501,3150105,315010503,31501050301,,,,,,,,,,,,,,,,,
SAMN32963717,RAP2482,AMNH A-194177,NTA,GA,Habersham,34.67147,-83.37227,262,14.98,23.92,5.73,1546.65,160.39,113.75,11.25,445.59,350.28,372.22,416.19,13.01,40.18,734.71,31.12,-1.26,32.38,7.19,15.59,324.8,1282.33,19.92,0.16,20.12,163.3,64425.23,57584.52,105.1,182.88,8.78,45.82,89.94,5116.05,167.22,62.11,248.93,66d,3,306,30601,3060102,306010204,30601020401,21.69,17.37,11.59,2.6,1.85,1.3,4.56,1.95,1.19,0.61,3.08,1.4,1.14,0.95,0.5,0.81,1.37
SAMN32963718,RAP2494,AMNH A-194182,NTA,GA,Lumpkin,34.61944,-84.14485,747,13.11,21.72,4.1,1635.34,176.04,108.96,13.37,479.59,352.39,381.47,445.36,12.19,39.39,712.93,28.47,-2.48,30.94,5.41,18.29,719.04,1173.03,12.09,0.3,20.42,181.98,54501.66,38313.17,78.37,164.37,7,40.53,114.25,4783.36,154.36,54.98,177.38,66g,3,315,31501,3150104,315010401,31501040102,14.56,9.87,7.86,1.84,1.52,1.15,3.6,1.2,0.76,0.34,2.42,1.02,0.94,0.87,0.41,0.77,1.31
SAMN32963719,RAP2504,AMNH A-194184,NTA,GA,Union,34.74838,-83.84456,683,12.59,21.18,3.54,1688.9,179.31,114.1,11.98,487.13,372.68,398.8,454.41,12.55,40.07,714.37,28.05,-3.27,31.32,4.86,17.83,784.69,1171.3,8.85,0.32,20.02,188.2,52855.43,37274.37,78.79,157,7,40.74,113.59,4742.04,153.59,55.31,167,66d,6,602,60200,6020002,602000205,60200020501,16.21,14.46,8.82,1.94,1.37,1.29,3.94,1.34,0.83,0.42,2.58,1.26,1.05,0.98,0.53,0.87,1.37
SAMN32881813,RAP2505,AMNH A-194185,NTA,GA,Union,34.74838,-83.84456,683,12.59,21.18,3.54,1688.9,179.31,114.1,11.98,487.13,372.68,398.8,454.41,12.55,40.07,714.37,28.05,-3.27,31.32,4.86,17.83,784.69,1171.3,8.85,0.32,20.02,188.2,52855.43,37274.37,78.79,157,7,40.74,113.59,4742.04,153.59,55.31,167,66d,6,602,60200,6020002,602000205,60200020501,19.05,16.41,10.66,2.51,1.66,1.63,4.41,1.65,0.92,0.42,2.96,1.21,1.15,0.9,0.43,0.91,1.39
SAMN32963713,RAP2557,,NTA,GA,Cherokee,35.21284,-84.21026,615,12.93,21.88,3.51,1537,163.59,90.78,14.35,442.98,321.14,381.97,413.97,13.32,40.81,743.65,29.16,-3.48,32.64,4.88,18.37,639.2,1213.45,18.01,0.22,20.96,162.47,54308.35,38447.86,76.65,160.62,7,40.05,119.4,5110.13,161.88,55.05,171.75,66g,6,602,60200,6020002,602000209,60200020903,,,,,,,,,,,,,,,,,
SAMN32963720,RAP2558,AMNH A-194201,NTA,GA,Cherokee,35.21284,-84.21026,615,12.93,21.88,3.51,1537,163.59,90.78,14.35,442.98,321.14,381.97,413.97,13.32,40.81,743.65,29.16,-3.48,32.64,4.88,18.37,639.2,1213.45,18.01,0.22,20.96,162.47,54308.35,38447.86,76.65,160.62,7,40.05,119.4,5110.13,161.88,55.05,171.75,66g,6,602,60200,6020002,602000209,60200020903,20.58,15.84,11.15,2.77,1.87,1.65,4.57,1.91,1.12,0.5,3.06,1.35,1.26,1.12,0.52,0.83,1.55
SAMN32881819,RAP2724,,COH,GA,Murray,34.94083,-84.66549,463,13.81,22.89,4.26,1533.58,164.54,96.54,14.02,444.56,322.08,359.43,416.56,12.72,39.34,753.28,29.99,-2.35,32.35,5.74,19.25,493.51,1229.45,21.71,0.2,21.43,159.7,58240.74,40809.96,80.46,174.51,7,40.73,120.95,5168.63,163.94,55.96,201.84,66g,3,315,31501,3150101,315010101,31501010101,,,,,,,,,,,,,,,,,
SAMN32881820,RAP2725,AMNH A-194188,COH,GA,Murray,34.94083,-84.66549,463,13.81,22.89,4.26,1533.58,164.54,96.54,14.02,444.56,322.08,359.43,416.56,12.72,39.34,753.28,29.99,-2.35,32.35,5.74,19.25,493.51,1229.45,21.71,0.2,21.43,159.7,58240.74,40809.96,80.46,174.51,7,40.73,120.95,5168.63,163.94,55.96,201.84,66g,3,315,31501,3150101,315010101,31501010101,21.96,25.33,11.74,2.55,1.81,1.9,5.57,1.85,1.33,0.63,3.15,1.42,1.29,1.21,0.69,0.91,1.65
