"","Temperature_mean_surface","Temperature_min_surface","Temperature_max_surface","Salinity_mean_surface","Salinity_min_surface","Salinity_max_surface","Dissolved_oxygen_mean_surface","Chlorophyll_mean_surface","Nitrate_mean_surface","Phosphate_mean_surface","Silicate_mean_surface","pH_surface"
"Ezul_04_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_05_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_06_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_07_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_08_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_09_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_10_Pan_01",28.250463,26.485788,29.347445,34.918765,33.813401,35.85403,200.155276,0.102839,0.294439,0.000167,10.280514,7.96700000762939
"Ezul_11_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Ezul_12_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Ezul_13_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Ezul_14_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Ezul_15_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Ezul_16_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_17_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_18_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_19_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_20_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_21_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_22_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_23_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_24_Jam_01",28.337034,26.159018,30.201559,35.637148,34.846121,36.195007,200.022327,0.026634,0.015851,0.000178,5.898535,8.16300010681152
"Ezul_25_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_26_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_27_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_28_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_29_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_30_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_31_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_32_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_33_Gei_01",26.759037,21.455448,30.79147,36.096824,35.323981,36.562438,205.740736,0.051388,0.841137,4.5e-05,6.858844,8.21000003814697
"Ezul_34_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Ezul_35_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Ezul_36_Swe_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Ezul_37_Swe_LSS_01",26.466509,22.316881,30.210007,36.433112,35.603718,36.988367,204.713142,0.069145,0.034004,0.000492,5.026498,8.20899963378906
"Ezul_37_Swe_LSS_02",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_38_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_39_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_40_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_41_Stir_01",26.816633,23.004755,30.05076,36.430277,35.750701,36.893999,203.673537,0.052826,0.030394,0.00037,4.912967,8.21300029754639
"Ezul_42_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_43_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_44_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_45_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_46_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_47_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_48_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_49_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_50_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_51_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_52_LSS_NEx_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_52_LSS_NEx_02",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_53_LSS_01",26.862818,23.219547,29.869434,36.371362,35.641057,37.082513,203.894613,0.020431,0.017023,3e-05,4.148321,8.22399997711182
"Ezul_54_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_55_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_56_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_57_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_58_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_59_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_60_SSal2_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_61_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_62_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_63_SSal_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ezul_64_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Ezul_65_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Ezul_66_Pla3_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Ezul_67_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Ezul_68_Pla_01",27.282454,24.354977,29.516382,36.018556,35.287444,36.784188,202.578938,0.016144,0.032401,1.9e-05,5.119717,8.23400020599365
"Ezul_69_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_70_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_71_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_72_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_73_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_74_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_75_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_76_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_77_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_78_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_79_NEx_01",26.949018,22.981541,30.47191,36.473389,35.814207,37.215211,202.986446,0.022844,0.014579,2.8e-05,4.201069,8.2209997177124
"Ezul_80_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_81_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_82_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_83_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_84_Bim3_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_85_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_86_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_87_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_88_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_88_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_89_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_89_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_90_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_90_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_91_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_91_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_92_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_92_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_93_Cur_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Ezul_93_Cur_Bim_02",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_93_Cur_Bim_03",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_94_Cur_01",27.561131,25.989994,29.629993,35.710738,33.58783,36.583982,203.002283,0.093072,0.010657,0.024054,5.007038,8.11900043487549
"Ezul_94_Cur_02",27.530399,25.900661,29.631678,35.813754,33.630348,36.647414,203.087058,0.094678,0.010173,0.024287,4.97547,8.11800003051758
"Ezul_95_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_96_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_97_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_98_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_99_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"E_cf_zul_100_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_101_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ezul_102_USVI_01",27.699312,25.289993,29.479994,34.905098,33.553383,36.350992,202.134982,0.033454,0.021562,0.001911,6.54742,8.20600032806396
"Ebuo_103_04SSal02_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ebuo_104_04SSal12_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ebuo_105_07SSal02_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
"Ebuo_106_07SSal10_01",27.037012,23.446556,29.644003,36.203401,35.071577,37.035495,203.807809,0.016522,0.018652,2e-05,4.359615,8.22799968719482
